ts,frame_hex,cmd,sub,payload_len
2026-08-05T02:12:31.469707+00:00,a55a3b8211000ce70ceb0cfa0d1e0cfb0cec0ce50d0d0d230cf60ceb0ce70d060ce60cee0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:31.570097+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:31.570351+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:31.570391+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:31.570417+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:31.570443+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:31.570469+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:31.570495+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:31.570559+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:31.570589+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:31.570644+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:31.570704+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:31.570736+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:31.671063+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:31.671287+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:31.671375+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:31.671450+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:31.671523+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:31.671590+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:31.671706+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:31.671779+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:31.671845+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:31.671909+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:31.671970+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:31.672031+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:31.772451+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:31.772735+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:31.772833+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:31.772915+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:31.772991+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:32.073874+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:32.074000+00:00,a55a2582100014bd03c2002000080043002b002500000cf600000001000100350001000100010000,0x82,0x10,35
2026-08-05T02:12:32.074034+00:00,a55a3b8211000ce70cec0cf90d190cfc0cec0ce40d100d240cf50cee0ce90d030ce70cef0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:32.074066+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:32.074091+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:32.074115+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:32.074140+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:32.174406+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:32.174539+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:32.174569+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:32.174595+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:32.174640+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:32.174668+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:32.174694+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:32.174718+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:32.174743+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:32.174767+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:32.174791+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:32.174815+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:32.275045+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:32.275176+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:32.275205+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:32.275230+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:32.275254+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:32.275278+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:32.275302+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:32.275326+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:32.275351+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:32.275375+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:32.275399+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:32.275422+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:32.275446+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:32.676369+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:32.676504+00:00,a55a2582100014bd03c5002100080040002b002500000cf600000001000100330001000100010000,0x82,0x10,35
2026-08-05T02:12:32.676537+00:00,a55a3b8211000ce70ceb0cf90d1d0cfb0cec0ce50d0e0d1f0cf60cee0ce90d050ce70cee0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:32.676568+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:32.676593+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:32.676638+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:32.676665+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:32.676689+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:32.676714+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:32.676738+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:32.676761+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:32.777008+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:32.777140+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:32.777169+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:32.777194+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:32.777219+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:32.777243+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:32.777267+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:32.777291+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:32.777315+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:32.777339+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:32.777363+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:32.777387+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:32.877669+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:32.877806+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:32.877837+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:32.877863+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:32.877940+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:32.877968+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:32.877993+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:32.878017+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:32.878041+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:33.178777+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:33.178903+00:00,a55a2582100014bd03c5002200080040002b002500000cf600000001000100340001000100010000,0x82,0x10,35
2026-08-05T02:12:33.178935+00:00,a55a3b8211000ce60cec0cf90d1b0cfc0cec0ce40d100d230cf50cee0cea0d050ce70cef0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:33.279181+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:33.279311+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:33.279340+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:33.279366+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:33.279403+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:33.279429+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:33.279454+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:33.279478+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:33.279503+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:33.279528+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:33.279552+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:33.279576+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:33.379806+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:33.379922+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:33.379953+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:33.379978+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:33.380002+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:33.380026+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:33.380050+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:33.380074+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:33.380098+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:33.380121+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:33.380145+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:33.380169+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:33.380192+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:33.480437+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:33.480565+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:33.480593+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:33.480673+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:33.781371+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:33.781504+00:00,a55a2582100014bd03c5002300080040002b002500000cf600000001000100350001000100010000,0x82,0x10,35
2026-08-05T02:12:33.781537+00:00,a55a3b8211000ce60ceb0cfa0d1d0cfb0cec0ce50d0e0d240cf60cec0ce90d040ce60cee0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:33.781568+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:33.781594+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:33.781638+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:33.781665+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:33.881900+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:33.882029+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:33.882058+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:33.882082+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:33.882107+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:33.882131+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:33.882155+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:33.882179+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:33.882203+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:33.882226+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:33.882250+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:33.882274+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:33.982512+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:33.982660+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:33.982753+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:33.982781+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:33.982806+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:33.982830+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:33.982854+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:33.982878+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:33.982902+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:33.982925+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:33.982949+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:33.982972+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:34.083227+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:34.384062+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:34.384188+00:00,a55a2582100014be03c8002400080040002b002500000cf700000001000100330001000100010000,0x82,0x10,35
2026-08-05T02:12:34.384225+00:00,a55a3b8211000ce70ceb0cf90d1f0cfc0cec0ce50d100d200cf50cec0ce90d030ce60cef0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:34.384258+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:34.384287+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:34.384313+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:34.384338+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:34.384365+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:34.384390+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:34.384413+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:34.384437+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:34.484686+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:34.484823+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:34.484853+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:34.484878+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:34.484903+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:34.484927+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:34.484952+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:34.484976+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:34.485000+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:34.485024+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:34.485048+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:34.485072+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:34.585369+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:34.585507+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:34.585535+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:34.585560+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:34.585584+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:34.585631+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:34.585670+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:34.585695+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:34.585720+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:34.886436+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:34.886568+00:00,a55a2582100014bd03c8002500080040002b002500000cf600000001000100340001000100010000,0x82,0x10,35
