ts,frame_hex,u16_1_2,u16_3_4,u16_5_6,u16_7_8,u16_9_10,u16_11_12,u16_13_14,u16_15_16,u16_17_18,u16_19_20,u16_21_22,u16_23_24,u16_25_26,u16_27_28,u16_29_30,u16_31_32,u16_33_34
2026-08-05T02:02:23.592144+00:00,a55a25821000141c03e00029000100580025002400000c9200000001000100340001000100010000,5148,992,41,1,88,37,36,0,3218,0,1,1,52,1,1,1,0
2026-08-05T02:02:24.194295+00:00,a55a25821000141c03dd001f000200580025002400000c9200000001000100350001000100010000,5148,989,31,2,88,37,36,0,3218,0,1,1,53,1,1,1,0
2026-08-05T02:02:24.796411+00:00,a55a25821000141d03dd00200002005a0025002400000c9200000001000100330001000100010000,5149,989,32,2,90,37,36,0,3218,0,1,1,51,1,1,1,0
2026-08-05T02:02:25.298542+00:00,a55a25821000141d03e700210002005a0025002400000c9200000001000100340001000100010000,5149,999,33,2,90,37,36,0,3218,0,1,1,52,1,1,1,0
2026-08-05T02:02:25.900912+00:00,a55a25821000141d03e000220002005a0025002400000c9200000001000100350001000100010000,5149,992,34,2,90,37,36,0,3218,0,1,1,53,1,1,1,0
2026-08-05T02:02:26.503107+00:00,a55a25821000141e03e000230002005a0025002400000c9300000001000100330001000100010000,5150,992,35,2,90,37,36,0,3219,0,1,1,51,1,1,1,0
2026-08-05T02:02:26.989019+00:00,a55a25821000141f03e400240002005a0025002400000c9300000001000100340001000100010000,5151,996,36,2,90,37,36,0,3219,0,1,1,52,1,1,1,0
2026-08-05T02:02:27.591391+00:00,a55a25821000141f03e000250002005a0025002400000c9300000001000100350001000100010000,5151,992,37,2,90,37,36,0,3219,0,1,1,53,1,1,1,0
2026-08-05T02:02:28.193430+00:00,a55a25821000141f03e000260002005a0025002400000c9400000001000100330001000100010000,5151,992,38,2,90,37,36,0,3220,0,1,1,51,1,1,1,0
2026-08-05T02:02:28.695201+00:00,a55a25821000141f03e000270002005a0025002400000c9400000001000100340001000100010000,5151,992,39,2,90,37,36,0,3220,0,1,1,52,1,1,1,0
2026-08-05T02:02:29.297531+00:00,a55a25821000142003dd00280002005a0025002400000c9400000001000100350001000100010000,5152,989,40,2,90,37,36,0,3220,0,1,1,53,1,1,1,0
2026-08-05T02:02:29.899726+00:00,a55a25821000142003dd0029000200520025002400000c9400000001000100330001000100010000,5152,989,41,2,82,37,36,0,3220,0,1,1,51,1,1,1,0
2026-08-05T02:02:30.401723+00:00,a55a25821000140f03dd001f000200520025002400000c8a00000001000100340001000100010000,5135,989,31,2,82,37,36,0,3210,0,1,1,52,1,1,1,0
2026-08-05T02:02:31.003917+00:00,a55a25821000141303210020000200520025002400000c8c00000001000100350001000100010000,5139,801,32,2,82,37,36,0,3212,0,1,1,53,1,1,1,0
2026-08-05T02:02:31.606185+00:00,a55a25821000141603210021000200520025002400000c8e00000001000100330001000100010000,5142,801,33,2,82,37,36,0,3214,0,1,1,51,1,1,1,0
2026-08-05T02:02:32.107941+00:00,a55a25821000141b03620022000200520025002400000c9100000001000100340001000100010000,5147,866,34,2,82,37,36,0,3217,0,1,1,52,1,1,1,0
2026-08-05T02:02:32.710082+00:00,a55a25821000141e03a60023000200520025002400000c9300000001000100350001000100010000,5150,934,35,2,82,37,36,0,3219,0,1,1,53,1,1,1,0
2026-08-05T02:02:33.312495+00:00,a55a25821000142203a60024000200520025002400000c9600000001000100330001000100010000,5154,934,36,2,82,37,36,0,3222,0,1,1,51,1,1,1,0
2026-08-05T02:02:33.814315+00:00,a55a25821000142303dd0025000200520025002400000c9600000001000100340001000100010000,5155,989,37,2,82,37,36,0,3222,0,1,1,52,1,1,1,0
2026-08-05T02:02:34.416579+00:00,a55a25821000142403dd0026000200520025002400000c9700000001000100350001000100010000,5156,989,38,2,82,37,36,0,3223,0,1,1,53,1,1,1,0
2026-08-05T02:02:35.018902+00:00,a55a25821000142303e40027000200590025002400000c9600000001000100330001000100010000,5155,996,39,2,89,37,36,0,3222,0,1,1,51,1,1,1,0
2026-08-05T02:02:35.520951+00:00,a55a25821000142403e00028000200590025002400000c9700000001000100340001000100010000,5156,992,40,2,89,37,36,0,3223,0,1,1,52,1,1,1,0
2026-08-05T02:02:36.123077+00:00,a55a25821000142503e00029000200590025002400000c9700000001000100350001000100010000,5157,992,41,2,89,37,36,0,3223,0,1,1,53,1,1,1,0
2026-08-05T02:02:36.725183+00:00,a55a25821000142503e0001f000200590025002400000c9800000001000100330001000100010000,5157,992,31,2,89,37,36,0,3224,0,1,1,51,1,1,1,0
2026-08-05T02:02:37.210696+00:00,a55a25821000142603dd0020000200590025002400000c9800000001000100340001000100010000,5158,989,32,2,89,37,36,0,3224,0,1,1,52,1,1,1,0
2026-08-05T02:02:37.812794+00:00,a55a25821000142703dd0021000200590025002400000c9800000001000100350001000100010000,5159,989,33,2,89,37,36,0,3224,0,1,1,53,1,1,1,0
2026-08-05T02:02:38.414971+00:00,a55a25821000142703e00022000200590025002400000c9900000001000100330001000100010000,5159,992,34,2,89,37,36,0,3225,0,1,1,51,1,1,1,0
2026-08-05T02:02:38.916932+00:00,a55a25821000142703dd0023000200590025002400000c9900000001000100340001000100010000,5159,989,35,2,89,37,36,0,3225,0,1,1,52,1,1,1,0
